criado,modificado,nome_fantasia,telefone_fixo,telefone_extra,telefone_celular,email,logradouro,nr_porta,cep,bairro,regiao,is_ativo,qtd_cacambas
09/10/24,09/10/24,R.A.G. Locações e Prest. de Serviço,(67) 3301-8025,,(67) 9840-9700,rafael@raglocacoes.com.br,Monte Castelo,361,79010-400,Monte Castelo,Teste,False,0
09/10/24,09/10/24,SOS ENTULHOS,(67) 3044-7070,,(67) 9927-40560,sosentulho@hotmail.com,Avenida Dr. Gunter Hans,5989,79076-000,Jardim Centenário,Teste,False,17
09/10/24,09/10/24,A CAÇAMBA PADILHA,(67) 9921-68847,,(67) 9921-68847,padilhacacamba@gmail.com,Leopoldo Ferreira de Almeida,293,79014-340,Jardim das Cerejeiras,Teste,False,22
09/10/24,09/10/24,LIMPA JÁ,(67) 9920-18096,,(67) 9920-18096,hudsonfb@gmail.com,Luís Pereira,621,79070-125,Pioneiros,Teste,False,37
09/10/24,09/10/24,JV TUBOS E ACABAMENTOS LTDA,(67) 3348-1881,,,cristianethaler@gmail.com,Joaquim Murtinho,4635,79041-060,Tiradentes,Teste,False,0
09/10/24,09/10/24,GUIA DO MARCENEIRO,(67) 3358-5811,,,lj08.deposito@guiadomarceneiro.net,do Rosário,416,79010-310,Coronel Antonino,Teste,False,0
09/10/24,09/10/24,PAULO ROBERTO,(67) 9996-16777,,(67) 9996-16777,removmaq@gmail.com,Jeriba,1052,79040-120,Chácara Cachoeira,Teste,False,0
09/10/24,09/10/24,ENGEPAR,(67) 3041-1777,,,rui@engepar.com,Três Barras,846,79051-290,Vila Vilas Boas,Teste,False,0
09/10/24,09/10/24,BALDRAMIS,(67) 9998-22678,,(67) 9998-22678,eaduek@hotmail.com,Presidente Vargas,1825,79112-010,Vila Santo Amaro,Teste,False,0
09/10/24,09/10/24,RJ TERRAPLENAGEM,(67) 3387-8885,(67) 9992-66318,(67) 9932-34064,rjterraplenagem.ms@gmail.com,Estácio de Sá,260,79051-310,Vila Vilas Boas,Teste,False,0
09/10/24,09/10/24,AGETRAN - TESTES,(67) 3314-3400,,,ctr.agetran@gmail.com,Gury Marques,2395,79063-000,Universitário,Teste,False,20
09/10/24,09/10/24,AGILE TRANSP.E LOGISTICA,(67) 9929-63230,,(67) 9929-63230,agiletransportes@hotmail.com,Joaquim Távora,48,79002-076,Centro,Teste,False,0
09/10/24,09/10/24,BERPRAM RECICLAGEM E PRES. AMBIENTAL,(67) 3355-3317,,(67) 9920-72732,rcc@berpram.ind.br,Cônsul Assaf Trad,4236,79035-490,Parque dos Novos Estados,Teste,False,127
09/10/24,09/10/24,Celpa Aterros e Locação Ltda,(67) 3365-7626,(67) 3365-1859,(67) 9998-44176,celpaaterro@gmail.com,Rural Rod. MS 010 KM 1,km 01,79124-899,Área Rural de Campo Grande,Teste,False,0
09/10/24,09/10/24,CAÇAMBA DO JAPA,(67) 3027-6998,,(67) 9921-39200,cacambadojapa@hotmail.com,Biritinga,208,79034-270,Parque dos Novos Estados,Teste,False,30
09/10/24,09/10/24,COLECTA / RECILIM,(12) 9813-23103,,(67) 9925-67786,arturmf@hotmail.com,Zilá Correa Machado,11449,79043-000,Tiradentes,Teste,False,0
09/10/24,09/10/24,MP LOCAÇÕES,(67) 9211-8260,,(67) 9921-18260,nivaldo_mp@hotmail.com,Leonel Velasco,181,79091-711,Residencial Oliveira,Teste,False,26
09/10/24,09/10/24,SARTOR,(67) 9923-72007,,(67) 9923-72007,alinesartorsartor@gmail.com,Jaboatão,183,79103-060,Vila Sílvia Regina,Teste,False,60
09/10/24,09/10/24,BOKAO,(67) 3385-7201,,(67) 9845-75598,peixotocastilhas@gmail.com,General Alberto Carlos Mendonça Lima,1919,79093-290,Jardim São Conrado,Teste,False,12
09/10/24,09/10/24,LOPES TRANSPORTES E SERVIÇOS,(67) 9927-34451,,,profjose10@gmail.com,Conde de Boa Vista,3549,79094-050,Jardim Tijuca,Teste,False,0
09/10/24,09/10/24,BRUTUS CAÇAMBAS,(67) 9925-17728,,(67) 9925-17728,brutus.transentulhos@gmail.com,Edward Quirino Lacerda,187,79103-690,Residencial Ana Maria do Couto,Teste,False,78
09/10/24,09/10/24,CAÇAMBAS CARDOSO,(67) 9980-73500,,(67) 9980-73500,odairjosecardoso73@gmail.com,Ouro Preto,484,79093-280,Jardim São Conrado,Teste,False,38
09/10/24,09/10/24,LOCA MAIS,(67) 3346-3246,,(67) 9980-71070,ctrlocamais@gmail.com,Clevelândia,708,79083-131,Jardim Aero Rancho,Teste,False,108
09/10/24,09/10/24,OZ PRESTAÇÃO DE SERVIÇOS,(67) 9910-25725,(67) 9925-06484,(67) 9910-25725,eloimcontabilidade2020@gmail.com,Wanderlei Pavão,274,79103-833,Jardim Aeroporto,Teste,False,0
09/10/24,09/10/24,MAIS CAÇAMBA,(67) 9924-05360,,(67) 9924-05360,eriickpereira_14@hotmail.com,Cuco,110,79071-141,Jardim Colibrí,Teste,False,38
09/10/24,09/10/24,LOCA OBRAS,(67) 3385-4098,,(67) 9991-29238,locaobras2000@gmail.com,Doutor Gunter Hans,2960,79092-612,Jardim Tijuca,Teste,False,54
09/10/24,09/10/24,GARRA ENTULHO,(67) 9817-08536,,(67) 9919-78675,garam88283@gmail.com,João Gomes Batista,20,79091-120,Núcleo Habitacional Buriti,Teste,False,0
09/10/24,09/10/24,AS LOCAÇÕES E SERVIÇOS,(67) 3213-4585,,,as.locacoes@hotmail.com,Fernando Torres,45,79082-000,Guanandi II,Teste,False,0
09/10/24,09/10/24,CONS E PAR CONSTRUCOES,(67) 9916-23285,,(67) 9981-12830,conspar.br@gmail.com,Fidalga,0162,79023-391,Vila Margarida,Teste,False,0
09/10/24,09/10/24,SOLUSERVI,(67) 3351-1510,(67) 3354-5992,(67) 9925-75444,soluservims@gmail.com,Ápa,32,79013-520,Coronel Antonino,Teste,False,100
09/10/24,09/10/24,V&M LOCAÇÕES LTDA.,(67) 9960-05855,,,vasconcelosemarques@hotmail.com,Santa Águeda,40,79118-620,Bairro Seminário 2,Teste,False,0
09/10/24,09/10/24,AMORIM TRANSPORTES,(67) 9933-79275,,(67) 9933-79275,edy_andradee@hotmail.com,Ilha de Marajó,823,79096-210,Portal Caiobá,Teste,False,0
09/10/24,09/10/24,BAZAR LOPES,(67) 9921-02255,,,bazarlopesms@gmail.com,da Península,79,79097-150,Coophavila II,Teste,False,0
09/10/24,09/10/24,DADYMAR,(67) 9964-22187,,(67) 9964-22187,adautobarbosa054@gmail.com,dos Ferreiras,226,79074-043,Jardim Monte Alegre,Teste,False,0
09/10/24,09/10/24,ROCHA PRESTAÇÃO DE SERVIÇOS,(67) 9964-22187,,(67) 9921-92094,moises.d.oliveira@hotmail.com,Comodoro,380,79082-095,Guanandi II,Teste,False,0
09/10/24,09/10/24,DNC OBRAS E TERRAPLANAGENS,(67) 9920-64405,,(67) 9920-64405,darionunescorreia@hotmail.com,Rio Dourado,1284,79095-060,Vila São Jorge da Lagoa,Teste,False,0
09/10/24,09/10/24,EMANUEL LOCAÇÃO E SERVIÇOS,(67) 9910-33232,,(67) 9910-33232,dayanedeleon18@gmail.com,João Rezek,88,79091-000,Residencial Oliveira III,Teste,False,0
09/10/24,09/10/24,REMOV MAQ SERVIÇOS E LOCAÇÕES,(67) 9996-16777,,(67) 9996-16777,removmaq@gmail.com,Manoel Alcova Filho,459,79042-879,Residencial Estrela Park,Teste,False,0
09/10/24,09/10/24,JOÃO NUNES TRANSPORTES,(67) 9989-64239,,(67) 9989-64239,caminhaodojoao3069@hotmail.com,Serra do Mar,255,79095-165,Vila São Jorge da Lagoa,Teste,False,0
09/10/24,09/10/24,DM PROJETOS E OBRAS,(67) 9981-50788,,(67) 9981-50788,contatomatheusdoreto@gmail.com,EW 8,185,79037-834,Chácara dos Poderes,Teste,False,0
09/10/24,09/10/24,Construtec,(67) 9998-47412,,(67) 9965-01208,comprasconstrutec@terra.com.br,Tiradentes,2139,79090-000,Vila Taveirópolis,Teste,False,0
09/10/24,09/10/24,RNC CONSTRUTORA,(67) 9928-30468,,(67) 9928-30468,rnc.prestadora@gmail.com,Porto Rico,877,79095-010,Vila São Jorge da Lagoa,Teste,False,0
09/10/24,09/10/24,Ecosupply RECICLADORA LTDA,(67) 9992-87481,,,mtr@ecosupplyservice.com.br,Cônsul Assaf Trad,2651,79013-545,Coronel Antonino,Teste,False,0
09/10/24,09/10/24,Mareco Volpini,(67) 9921-86767,,(67) 9921-86767,marecovolpini@outlook.com,João Pedro de Souza,170,79004-680,Jardim Monte Líbano,Teste,False,0
09/10/24,09/10/24,PR QUIRINO DEMOLIÇÕES,(67) 9991-75623,,(67) 9991-75623,pr.quirinodemolicao@gmail.com,Morro do Chapéu,378,79076-080,Jardim Centenário,Teste,False,0
09/10/24,09/10/24,ALTAIR RODRIGUES DIAS,(67) 9926-22465,,(67) 9926-22465,leonilda321@yahoo.com.br,Meruce,289,79044-510,Jardim Samambaia,Teste,False,0
09/10/24,09/10/24,JD LOCAÇÃO E TERRAPLANAGEM,(67) 3043-1303,,(67) 9998-52320,financeiro@jdlocacaomaquinas.com.br,João Kussarev,1650,79037-270,Jardim Veraneio,Teste,False,0
09/10/24,09/10/24,VAN DIESEL MECANICA E TRANSPORTSDORA,(67) 9998-40177,,(67) 9998-40177,gustavo.souza625@hotmail.com,General Reveilleau,511,79005-450,Amambaí,Teste,False,0
09/10/24,09/10/24,TABOSA,(67) 9927-26275,,(67) 9927-26275,brenertabosa@hotmail.com,Cláudio Coutinho,1300,79073-012,Jardim Campo Nobre,Teste,False,0
09/10/24,09/10/24,GILMAR CARVALHO DE LIMA,(67) 9915-47704,,(67) 9915-47704,gilmarlima0410@hotmail.com,dos Navegantes,371,79034-330,Parque dos Novos Estados,Teste,False,0
09/10/24,09/10/24,Antonio Roberto Bittencourt Teixeira Pedrosa,(67) 3028-4545,,(67) 9994-81011,construtorarial@gmail.com,Sofia Melke,477,79003-109,Itanhangá Park,Teste,False,0
09/10/24,09/10/24,Caçambas Campo Grande,(67) 9930-91515,,(67) 9930-91515,cacambascampogrande@outlook.com,Vilma Andrade Costa,1209,79052-230,Parque Residencial Rita Vieira,Teste,False,40
